index,1,73,74,39,4,33,34,35,22,19,80,81,97
77,Telangana,65.4,85.6,96.5,58.8,33.4,30.9,22.9,94.7,84.2,84.3,99.4,65.5
78,Gujarat,83.4,87.2,87.6,83.0,47.2,52.8,23.0,84.6,82.8,54.6,96.8,67.3
79,Assam,37.5,53.2,66.3,69.9,42.0,33.1,27.0,82.2,68.7,67.9,99.7,75.6
80,Telangana,64.7,87.7,85.3,62.3,25.9,27.4,22.1,87.5,83.0,78.1,95.6,69.5
81,Gujarat,56.1,86.1,87.4,65.8,39.0,44.1,25.5,63.7,52.2,53.9,93.6,63.7
82,Sikkim,43.8,65.8,59.2,44.6,17.8,13.0,14.3,0.0,0.0,85.0,93.6,90.1
83,Rajasthan,62.3,96.6,95.2,63.3,34.0,26.6,8.6,91.9,88.5,60.3,92.7,62.0
84,Odisha,82.9,94.0,90.1,66.4,33.0,33.6,17.2,98.1,93.0,64.4,96.5,61.8
85,Jammu And Kashmir,71.9,78.7,75.8,72.0,30.3,32.4,22.5,96.9,95.0,63.3,77.7,79.4
86,Mizoram,33.0,46.2,28.4,45.5,32.7,16.9,16.2,76.8,75.3,90.3,82.2,76.0
87,Madhya Pradesh,54.4,84.2,83.5,64.2,32.1,33.0,15.9,93.1,92.3,58.4,79.7,66.5
88,Tamil Nadu,93.672,93.753,97.053,59.765,19.681,21.966,8.447,89.465,78.63,79.547,99.667,83.815
89,Maharashtra,66.4,76.5,83.4,56.2,42.2,44.8,27.2,76.2,74.3,68.3,86.3,80.0
90,Rajasthan,56.7,81.6,83.9,50.1,32.6,25.4,13.3,89.0,87.2,75.4,96.5,67.4
91,Chhattisgarh,52.1,78.6,72.7,55.6,35.1,38.8,23.0,89.2,76.1,57.3,84.4,65.4
92,Nagaland,14.5,46.9,45.1,29.5,34.9,20.7,9.1,74.2,71.9,89.4,92.5,77.6
93,Maharashtra,80.1,95.6,95.0,42.5,35.0,27.2,18.6,89.2,81.4,84.7,96.8,90.3
94,Tamil Nadu,90.038,95.345,98.491,51.204,23.052,18.57,7.152,98.213,98.152,78.571,99.85,89.296
95,Haryana,68.8,95.3,93.9,64.3,29.9,29.9,20.7,91.9,76.4,89.7,98.5,70.9
96,Haryana,59.8,95.3,96.5,57.7,24.9,22.5,12.8,94.6,73.6,82.6,99.9,83.0
97,Karnataka,75.8,92.6,86.1,34.2,27.1,23.8,15.2,100.0,96.8,87.9,96.8,82.0
98,Meghalaya,64.0,42.0,41.4,40.4,59.0,31.1,8.0,71.5,67.6,87.8,80.5,87.4
99,Punjab,47.7,86.6,87.9,62.7,23.4,18.1,10.4,95.9,95.8,92.4,99.7,78.3
100,Odisha,70.1,92.7,94.0,66.8,38.9,30.0,18.0,97.8,95.9,61.9,98.0,71.6
101,Karnataka,84.1,94.2,93.2,52.9,32.2,28.7,18.0,97.9,95.5,75.2,99.9,72.4
102,Tamil Nadu,85.4,90.3,95.2,64.4,18.1,20.6,17.0,98.0,95.7,75.6,100.0,83.6
