index1,index,2,District
381,381,Ganjam,Gondia
382,382,Kanker,Jalgaon
383,383,Una,Pune
384,384,Saiha,Ahmednagar
385,385,Dadra and Nagar Haveli,Dhule
386,386,Narayanpet,Sangli
387,387,Howrah,Palghar
388,388,Haridwar,Satara
389,389,Chitrakoot,Bhandara
390,390,Pratapgarh,Gadchiroli
391,391,Peddapalli,Solapur
392,392,Tiruchirappalli,Washim
393,393,Balrampur,Parbhani
394,394,Solan,Aurangabad
395,395,Zunheboto,Jalna
396,396,Budgam,Jiribam
397,397,Kinnaur,Chandel
398,398,Baran,Senapati
399,399,Pondicherry,Kamjong
400,400,East Khasi Hills,Churachandpur
401,401,Samastipur,Imphal East
402,402,Bhilwara,Kakching
403,403,Rajgarh,Tengnoupal
404,404,Jammu,Bishnupur
405,405,Betul,Ukhrul
406,406,Godda,Imphal West
407,407,Senapati,Pherzawl
408,408,Gadag,Noney
409,409,Rohtak,Tamenglong
410,410,Panipat,Thoubal
411,411,Kondagaon,Kangpokpi
412,412,Mamit,West Jaintia Hills
413,413,Yamunanagar,Ri Bhoi
414,414,Upper Subansiri,North Garo Hills
415,415,Wayanad,South West Garo Hills
416,416,Karbi Anglong,East Garo Hills
417,417,Chitradurga,East Khasi Hills
418,418,Tengnoupal,East Jaintia Hills
419,419,Satara,South Garo Hills
420,420,Karauli,West Garo Hills
421,421,Dungarpur,West Khasi Hills
422,422,Udhampur,South West Khasi Hills
423,423,Medinipur West,Mamit
424,424,Kachchh,Serchhip
425,425,Udalguri,Champhai
426,426,Bareilly,Hnahthial
427,427,Fatehabad,Saitual
428,428,Sant Kabir Nagar,Aizawl
429,429,Parbhani,Kolasib
430,430,Prayagraj,Khawzawl
431,431,Lakhisarai,Saiha
432,432,Jagitial,Lunglei
433,433,Dharmapuri,Lawngtlai
434,434,Ariyalur,Zunheboto
435,435,Jalandhar,Wokha
436,436,Shahid Bhagat Singh Nagar,Kohima
437,437,Bishnupur,Kiphire
438,438,Kannur,Tuensang
439,439,Deoria,Mon
440,440,Sikar,Peren
441,441,Nirmal,Dimapur
442,442,Kapurthala,Phek
443,443,Boudh,Noklak
444,444,Ramanagara,Mokokchung
445,445,South West Delhi,Longleng
446,446,Nizamabad,Koraput
447,447,Gonda,Gajapati
448,448,Puri,Bhadrak
449,449,Poonch,Nayagarh
450,450,Kishtwar,Sundargarh
451,451,Raigarh,Jagatsinghapur
452,452,Hnahthial,Rayagada
453,453,Pakke Kessang,Bargarh
