index,2,73,74,39,4,33,34,35,22,19,80,81,97,IMR,Total District Hospitals,Life Expectancy
71,South Salmara Mancachar,35.3,62.6,56.1,64.5,38.9,27.9,18.2,85.3,74.1,59.0,98.2,63.5,36.0,25,66.9
72,Lakhimpur,51.7,67.7,77.0,71.5,38.5,34.4,18.2,86.3,74.3,74.2,81.2,83.9,36.0,25,66.9
73,Marigaon,42.0,67.9,72.6,71.8,43.2,30.5,16.1,87.0,77.0,62.3,94.6,78.7,36.0,25,66.9
74,Samastipur,23.5,52.1,51.5,65.9,44.0,42.8,21.3,89.4,74.6,48.8,98.6,54.3,27.0,36,69.1
75,Kaimur (Bhabua),25.6,81.6,77.0,70.8,44.1,47.2,27.3,93.5,89.9,59.1,98.0,66.0,27.0,36,69.1
76,Madhubani,34.9,58.9,61.0,69.2,43.3,36.0,17.1,91.2,80.3,38.2,100.0,53.2,27.0,36,69.1
77,Arwal,34.5,70.1,70.1,66.3,45.6,52.9,36.8,94.7,85.0,43.4,99.9,62.5,27.0,36,69.1
78,Darbhanga,24.9,50.5,50.9,59.7,45.4,39.2,19.3,81.9,69.0,48.7,99.8,49.4,27.0,36,69.1
79,Patna,17.9,59.0,63.1,62.8,34.5,39.6,27.5,78.6,67.0,61.0,98.8,67.6,27.0,36,69.1
80,Lakhisarai,28.0,66.7,74.1,75.1,42.7,45.1,25.6,83.9,73.7,51.6,96.6,57.9,27.0,36,69.1
81,Vaishali,24.5,57.4,64.3,69.6,38.3,38.4,19.6,82.3,74.8,52.6,99.2,62.4,27.0,36,69.1
82,Khagaria,17.4,54.2,52.2,65.1,34.8,36.4,25.3,82.6,73.1,65.0,98.8,51.8,27.0,36,69.1
83,Bhojpur,33.5,56.1,62.4,72.7,40.7,44.0,31.3,85.7,64.1,45.9,99.7,64.1,27.0,36,69.1
84,Sheohar,25.3,61.1,58.7,64.3,34.4,42.2,35.4,81.3,69.0,57.9,100.0,52.5,27.0,36,69.1
85,Sheikhpura,28.4,77.1,78.7,73.9,53.6,37.6,16.3,88.7,85.6,54.2,98.4,55.0,27.0,36,69.1
86,Madhepura,20.9,49.5,58.9,70.4,46.3,43.5,20.6,86.5,77.7,34.6,99.3,47.6,27.0,36,69.1
87,Pashchim Champaran,25.4,57.3,64.1,56.3,43.5,30.3,13.2,79.9,74.7,43.3,99.7,52.5,27.0,36,69.1
88,Nalanda,29.3,77.5,73.0,70.2,42.6,46.7,27.8,83.4,82.2,52.5,98.9,56.1,27.0,36,69.1
89,Saharsa,11.7,38.5,40.8,67.9,47.8,42.7,20.5,87.2,74.5,40.5,100.0,43.1,27.0,36,69.1
90,Bhagalpur,27.6,54.0,60.5,73.9,40.0,40.4,21.2,91.8,73.4,60.9,98.0,65.6,27.0,36,69.1
91,Siwan,30.3,63.9,63.0,64.0,36.7,30.8,18.2,86.4,78.4,47.7,99.8,70.9,27.0,36,69.1
92,Begusarai,21.6,58.6,60.9,64.3,37.8,35.6,21.0,81.0,72.9,62.2,99.1,62.3,27.0,36,69.1
93,Gaya,25.1,72.5,75.4,65.5,47.4,43.5,24.3,92.5,90.7,44.4,99.2,59.4,27.0,36,69.1
94,Araria,25.8,46.4,48.2,64.0,49.9,47.8,23.9,83.0,67.3,32.2,100.0,43.7,27.0,36,69.1
95,Jamui,37.9,66.7,69.8,75.9,43.0,37.5,19.4,85.7,68.2,37.6,90.5,48.7,27.0,36,69.1
96,Muzaffarpur,28.2,55.9,55.9,66.1,42.6,34.7,19.9,91.9,75.9,55.2,99.9,63.0,27.0,36,69.1
97,Supaul,30.9,60.7,64.2,63.2,42.3,45.0,25.8,85.5,76.8,50.7,99.7,42.1,27.0,36,69.1
98,Buxar,27.4,66.9,68.3,66.0,39.6,45.3,33.2,90.5,75.0,52.4,99.8,68.1,27.0,36,69.1
99,Nawada,31.6,74.1,80.5,73.7,49.4,37.3,18.2,87.5,79.0,47.9,99.3,62.1,27.0,36,69.1
100,Kishanganj,17.1,40.7,42.1,62.6,38.8,41.1,23.9,82.0,70.2,52.4,100.0,48.0,27.0,36,69.1
101,Munger,36.8,80.7,83.4,73.8,35.5,39.5,26.7,86.8,75.1,62.8,97.7,69.5,27.0,36,69.1
102,Saran,30.7,54.1,58.3,70.9,39.7,45.0,28.8,88.9,75.7,37.2,99.7,65.6,27.0,36,69.1
103,Jehanabad,17.4,77.7,71.2,72.3,41.3,51.7,36.6,97.2,77.2,45.5,99.8,63.2,27.0,36,69.1
104,Gopalganj,27.9,53.9,54.2,54.1,34.2,29.2,21.5,89.6,79.0,60.1,99.9,63.3,27.0,36,69.1
105,Sitamarhi,20.3,51.1,57.3,61.4,54.2,40.8,16.2,78.4,70.4,50.7,99.7,51.7,27.0,36,69.1
106,Rohtas,34.2,85.0,80.7,66.3,40.0,48.2,31.8,95.8,86.8,69.0,99.6,76.5,27.0,36,69.1
107,Katihar,15.3,41.7,44.3,66.7,43.9,48.1,23.5,83.9,79.1,44.6,99.2,49.7,27.0,36,69.1
108,Purbi Champaran,21.7,43.7,41.8,64.4,49.1,37.9,16.8,77.0,74.1,48.3,99.9,50.2,27.0,36,69.1
109,Purnia,11.1,41.0,41.5,64.0,43.5,47.1,25.8,79.5,67.7,35.6,99.6,47.5,27.0,36,69.1
110,Banka,31.7,72.3,74.7,60.4,46.7,45.8,26.9,95.0,90.2,38.2,96.3,55.7,27.0,36,69.1
111,Aurangabad,29.3,71.5,72.0,56.9,41.2,48.7,32.9,96.8,91.3,47.1,100.0,67.6,27.0,36,69.1
112,Balrampur,52.1,78.6,72.7,55.6,35.1,38.8,23.0,89.2,76.1,57.3,84.4,65.4,38.0,26,65.2
113,Jashpur,48.6,82.7,80.7,60.3,35.8,33.6,17.0,96.9,95.5,72.8,88.8,73.1,38.0,26,65.2
114,Baloda Bazar,49.5,72.6,69.7,60.2,40.9,34.1,19.4,89.8,80.3,78.9,94.8,73.4,38.0,26,65.2
115,Bemetara,54.6,91.5,91.9,50.3,38.4,27.6,16.4,95.7,93.4,80.5,98.8,71.1,38.0,26,65.2
116,Janjgir-Champa,62.8,85.9,82.6,67.9,32.5,30.2,24.6,92.9,90.7,78.8,97.2,74.9,38.0,26,65.2
117,Narayanpur,59.1,76.9,71.3,72.0,43.7,39.5,21.5,87.3,84.5,52.8,90.5,52.0,38.0,26,65.2
118,Bastar,55.1,69.2,64.6,80.3,48.1,45.2,20.4,81.4,61.8,61.0,94.1,52.9,38.0,26,65.2
119,Balod,81.5,90.8,89.1,59.7,33.6,36.0,15.1,92.4,85.2,83.8,99.5,78.6,38.0,26,65.2
120,Dhamtari,70.4,84.3,83.7,59.8,30.5,28.9,17.9,95.9,89.0,89.8,99.1,82.7,38.0,26,65.2
121,Mungeli,67.3,74.4,66.6,53.7,30.1,30.6,17.7,89.2,83.9,80.7,98.0,66.5,38.0,26,65.2
122,Gaurella Pendra Marwahi,46.9,75.7,78.6,63.9,25.7,28.0,24.0,80.1,65.8,80.5,93.6,72.8,38.0,26,65.2
123,Gariyaband,57.8,86.3,82.3,63.2,28.9,22.1,21.9,94.2,85.4,81.0,96.8,68.9,38.0,26,65.2
124,Korea,70.0,78.2,71.5,48.3,32.1,31.8,18.1,92.5,90.4,73.3,87.6,74.8,38.0,26,65.2
125,Raipur,65.6,88.4,86.7,63.1,32.2,32.3,21.7,85.8,86.8,84.0,99.7,79.6,38.0,26,65.2
126,Durg,69.9,94.2,92.5,61.8,38.9,27.7,16.9,92.2,85.8,89.5,98.5,80.3,38.0,26,65.2
127,Korba,49.3,76.7,70.7,70.5,34.7,27.9,14.7,83.9,72.2,73.3,82.2,73.2,38.0,26,65.2
128,Kabirdham,58.9,93.0,94.3,45.4,37.9,27.3,12.0,96.9,96.9,80.3,97.9,66.2,38.0,26,65.2
129,Surajpur,48.9,83.0,81.2,53.1,27.6,32.3,19.3,83.3,79.7,75.4,83.4,66.9,38.0,26,65.2
130,Bijapur,56.9,64.9,58.2,68.7,53.8,46.1,20.0,83.8,84.6,30.6,94.3,44.7,38.0,26,65.2
131,Kondagaon,64.1,79.4,77.3,79.7,37.6,42.2,22.8,86.7,77.2,79.5,98.8,54.7,38.0,26,65.2
132,Dantewada,68.2,84.9,84.9,75.7,45.6,45.8,19.4,83.8,85.8,60.5,95.1,49.3,38.0,26,65.2
133,Bilaspur,46.9,75.7,78.6,63.9,25.7,28.0,24.0,80.1,65.8,80.5,93.6,72.8,38.0,26,65.2
134,Rajnandgaon,76.1,90.5,84.5,55.5,27.6,31.0,19.4,95.1,92.6,79.2,98.8,80.6,38.0,26,65.2
135,Mahasamund,65.8,89.1,87.2,63.0,36.8,25.8,14.0,92.2,86.2,84.2,98.8,70.6,38.0,26,65.2
