index,2,73,74,39,33,34,80,97,overall_health_condition
85,Ayodhya,33.8,75.5,71.2,30.6,27.5,64.4,73.8,-0.4311271298705462
86,Palamu,33.8,70.3,70.1,43.7,37.3,46.3,62.5,-0.4258036185104388
87,Bongaigaon,33.9,57.0,63.3,46.2,35.3,72.5,75.8,-0.1934774501836435
88,Kaushambi,34.0,74.2,67.9,40.2,36.8,59.6,58.6,-0.3980014908550945
89,Upper Siang,34.0,56.4,52.9,30.4,12.0,91.8,70.9,-0.7648233938952256
90,Rohtas,34.2,85.0,80.7,40.0,48.2,69.0,76.5,0.2700390082061301
91,Bahraich,34.3,52.4,54.5,52.1,38.0,44.2,38.8,-0.8745765351913763
92,East Siang,34.3,55.7,58.8,24.6,10.3,83.9,81.9,-0.790599241307666
93,Simdega,34.4,61.5,62.3,42.2,37.0,71.3,66.4,-0.3289283939233215
94,Arwal,34.5,70.1,70.1,45.6,52.9,43.4,62.5,-0.2116119314093996
95,Wokha,34.7,50.7,45.4,26.3,28.0,88.5,91.6,-0.5367297196543537
96,Madhubani,34.9,58.9,61.0,43.3,36.0,38.2,53.2,-0.8227803112206222
97,Pashchimi Singhbhum,34.9,58.8,61.5,60.6,62.4,37.7,47.8,-0.223210376043942
98,Ranchi,35.2,83.1,84.5,28.3,40.6,77.2,76.0,0.0473863358047863
99,Shahjahanpur,35.3,62.8,63.6,44.5,34.7,69.2,56.8,-0.4185655314079882
100,South Salmara Mancachar,35.3,62.6,56.1,38.9,27.9,59.0,63.5,-0.6963770468698193
101,Sitapur,35.4,71.5,67.9,47.8,37.9,52.5,53.4,-0.3874242432736685
102,Namsai,35.4,51.2,52.0,28.7,17.7,75.1,62.6,-1.02690770947772
103,Saiha,35.5,59.6,22.8,43.8,17.6,91.5,95.1,-0.3847973513127786
104,Tirap,35.7,49.8,51.6,38.6,16.0,86.7,72.8,-0.6505098783923817
105,Kushinagar,35.8,79.3,74.7,32.2,36.6,73.1,62.5,-0.2515497263170514
106,Sagar,35.9,71.5,79.8,42.7,35.8,68.8,69.4,-0.0567650259477967
107,Jamtara,36.0,69.9,66.5,41.9,46.2,52.8,53.5,-0.4089450120429854
108,Sahibganj,36.2,64.8,61.0,49.1,44.8,43.2,48.8,-0.5376085755317164
109,Sonbhadra,36.4,59.9,57.4,38.3,46.5,70.6,60.9,-0.3944114607948341
110,Hazaribagh,36.4,65.4,67.7,37.8,32.5,55.6,67.2,-0.5056618374495141
111,Mirzapur,36.5,69.8,69.6,43.4,27.6,72.3,70.9,-0.2032653839505783
112,Fazilka,36.5,84.3,83.6,35.9,20.2,81.8,69.4,-0.0985099217640353
113,Jhansi,36.6,80.4,76.1,40.9,39.3,73.2,69.2,0.0548082495379219
114,Munger,36.8,80.7,83.4,35.5,39.5,62.8,69.5,-0.0674711403703974
115,Kokrajhar,36.9,68.3,65.5,34.6,35.2,72.2,73.7,-0.2840690251986842
116,Chhatarpur,36.9,72.2,79.8,45.1,34.6,55.5,60.5,-0.244002964582227
117,Kamle,36.902,64.246,62.783,32.583,11.527,82.213,69.914,-0.6448311973231785
118,Khunti,37.4,63.9,61.0,38.5,44.0,55.2,55.3,-0.5551605157406682
119,Darrang,37.5,53.2,66.3,42.0,33.1,67.9,75.6,-0.330195693302674
120,Dhubri,37.6,48.4,54.5,48.5,37.8,61.8,69.5,-0.4301518673919794
121,Tawang,37.6,49.6,48.8,30.4,9.0,81.7,56.6,-1.145914633335784
122,Lohardaga,37.7,79.2,82.1,40.7,43.4,67.7,65.2,0.0550474591461604
123,Jamui,37.9,66.7,69.8,43.0,37.5,37.6,48.7,-0.6898271525378261
124,Mainpuri,38.1,63.3,66.9,44.3,33.6,63.1,74.2,-0.2326605119603198
125,Fatehpur,38.1,66.8,65.5,51.1,38.0,63.1,62.3,-0.1679402970488086
126,Kasganj,38.1,62.0,67.8,45.1,35.5,69.8,56.4,-0.3460040565378527
127,Azamgarh,38.5,72.9,72.5,33.4,28.0,72.8,76.5,-0.2413394306250923
128,Kamjong,38.8,44.9,44.8,27.1,16.0,81.4,86.9,-0.8332540436801542
129,Ukhrul,38.8,44.9,44.8,27.1,16.0,81.4,86.9,-0.8332540436801542
130,Banda,39.0,73.7,65.1,51.0,49.8,59.3,57.0,-0.0432480015747135
131,Lower Subansiri,39.1,67.7,65.5,30.7,8.1,82.8,73.4,-0.6028709415810097
132,Godda,39.2,67.9,66.8,39.4,40.7,54.9,46.6,-0.5826601494761442
133,Papum Pare,39.3,53.2,58.1,29.7,15.6,75.7,77.0,-0.7563752599937625
134,Firozabad,39.3,73.7,72.0,46.9,25.6,69.0,71.4,-0.1086700960709962
135,Dumka,39.3,54.9,57.1,38.2,44.9,41.5,51.8,-0.8294229678337448
136,Mathura,39.3,62.8,67.2,31.6,21.3,71.2,64.4,-0.6620919177584628
137,Sidhi,39.4,79.7,75.9,39.1,32.8,44.7,64.4,-0.3760826439766294
138,Pauri Garhwal,39.6,64.0,70.7,30.0,18.8,83.3,84.0,-0.3329343225355584
139,Longding,39.6,57.1,55.5,15.8,13.8,83.5,70.2,-1.027525982017237
140,Lohit,39.6,66.2,66.2,24.5,12.9,83.7,70.9,-0.6816977169468956
141,Hardoi,39.7,67.0,62.8,44.5,33.0,55.7,55.0,-0.5219957243389353
142,Upper Dibang Valley,40.4,66.2,58.3,16.9,16.0,95.0,76.6,-0.6733383928997778
143,Budaun,40.6,62.4,59.4,51.8,43.0,69.7,49.7,-0.2569461205259706
144,Gomati,40.6,66.3,68.6,22.7,29.0,77.4,77.2,-0.460383583346765
145,Purbi Singhbhum,40.7,84.0,85.9,35.9,41.6,70.2,73.8,0.1715281312091268
146,Ramgarh,40.9,78.0,75.8,35.3,35.3,64.2,71.0,-0.1593718461574961
147,Sheopur,41.0,76.2,73.2,45.8,37.7,48.0,49.8,-0.3770316081907341
148,Balrampur,41.0,62.1,61.3,41.2,37.2,59.7,43.2,-0.6833880622248278
149,Shamli,41.0,81.3,75.2,28.6,27.5,83.3,64.2,-0.2582794431910446
150,Farrukhabad,41.5,72.5,72.0,47.8,31.1,72.6,63.1,-0.0806896229059991
151,Khowai,41.5,59.7,62.9,47.0,24.7,67.8,80.5,-0.2259117104635682
152,Gonda,41.7,68.6,72.1,45.9,28.0,44.6,57.7,-0.5198070269193924
153,Morigaon,42.0,67.9,72.6,43.2,30.5,62.3,78.7,-0.1224175261047776
154,Karauli,42.0,89.4,87.5,37.6,37.3,49.9,53.3,-0.2092107647480626
155,Giridih,42.1,61.3,61.0,31.9,34.3,59.2,53.4,-0.7801488857937457
156,Dholpur,42.4,79.4,84.9,45.7,31.3,57.5,57.7,-0.1328020439856462
157,Shrawasti,42.4,68.3,68.4,50.9,40.8,58.1,39.1,-0.3848637578636533
158,Baghpat,42.4,79.1,82.3,25.5,26.0,87.0,76.3,-0.1053588539829473
159,Deoria,42.5,77.2,73.9,36.8,39.4,69.1,71.3,-0.0416914290638056
160,Agra,42.7,77.2,75.2,35.9,26.2,70.8,63.1,-0.298337867780401
161,Karimganj,42.8,63.9,70.2,29.1,52.9,61.5,80.7,-0.1318287276350281
162,Bareilly,43.1,75.2,75.4,45.9,35.2,79.7,53.9,-0.0360669889339882
163,Latehar,43.1,70.7,61.7,40.1,39.4,51.4,54.9,-0.5101159333476373
164,Hailakandi,43.1,68.8,70.1,42.9,42.4,60.0,82.2,0.0414547513484293
165,West Jaintia Hills,43.1,28.6,30.8,48.7,28.3,75.1,80.0,-0.668164031555405
166,Hamirpur,43.2,87.2,79.0,48.0,36.3,77.7,69.4,0.3341685491182027
167,Mau,43.2,80.0,75.7,25.4,30.3,75.1,72.0,-0.2581357804735528
168,Sant Kabir Nagar,43.2,72.5,75.1,42.3,34.2,65.1,61.3,-0.1941557554215928
170,Rae Bareli,43.6,60.1,61.6,47.0,28.8,55.0,62.8,-0.4948654873030054
171,Barpeta,43.6,70.5,73.9,29.8,26.2,63.7,74.8,-0.4111328605713922
169,Pilibhit,43.6,72.6,71.2,38.9,39.4,76.8,54.7,-0.1887844428003848
172,Etawah,43.7,79.3,79.5,38.8,24.3,78.1,77.4,0.0354762204308949
173,East District,43.8,65.8,59.2,17.8,13.0,85.0,90.1,-0.6005486507848311
174,Amroha,43.9,77.7,79.5,42.2,35.4,78.9,61.2,0.0441199632267746
175,Muzaffarnagar,44.0,88.5,87.3,29.8,29.9,80.1,72.1,0.0602925878379897
176,Kurung Kumey,44.1,62.3,61.1,29.2,13.9,78.3,76.0,-0.622826424753396
177,Goalpara,44.1,73.5,80.0,38.9,35.4,75.3,74.1,0.0661703142167549
178,Almora,44.3,78.1,79.6,26.0,22.9,89.2,86.3,-0.0172420266204123
179,Ambedkar Nagar,44.5,76.8,74.5,31.1,29.2,63.6,76.2,-0.2577909559336315
180,Dhanbad,44.6,73.2,74.3,27.0,25.1,67.6,69.7,-0.4635341940688539
181,Aligarh,44.7,82.1,80.3,35.0,26.3,69.4,66.0,-0.183686663080503
182,Pali,45.0,96.4,94.7,35.9,35.9,81.8,74.4,0.4466843687510399
183,Sehore,45.0,74.4,80.4,21.9,27.6,75.2,64.3,-0.4490336181585298
184,Churu,45.0,73.9,75.2,27.1,23.4,80.2,63.9,-0.4162301258703026
185,Sonitpur,45.5,63.5,67.4,36.7,21.9,72.2,76.9,-0.3476864962580335
186,Lalitpur,45.7,71.1,64.8,46.6,34.8,64.2,55.3,-0.2734951041414097
187,Prayagraj,45.9,67.5,59.6,37.9,32.6,59.5,67.7,-0.4415198315681704
188,Nuh,45.9,65.9,66.9,44.4,37.3,71.7,41.9,-0.4016019904394882
189,Mahoba,46.2,86.3,80.8,42.3,33.4,69.0,65.6,0.0929486802714484
190,Nagaur,46.2,80.8,85.5,31.5,26.2,79.0,67.2,-0.1010304343077027
191,Kannauj,46.4,70.3,66.8,43.0,33.5,70.1,64.8,-0.1741554290509934
192,Damoh,46.4,75.8,78.8,40.3,32.3,40.6,61.6,-0.3934127063018964
193,Biswanath,46.5,56.5,58.1,42.7,41.0,76.6,69.2,-0.1827567278841035
194,West Karbi Anglong,46.7,55.7,60.5,40.9,31.1,76.7,73.9,-0.2734127921792914
195,Dima Hasao,46.9,73.8,76.8,30.6,21.7,83.8,87.7,-0.0301339758260985
196,Gaurella Pendra Marwahi,46.9,75.7,78.6,25.7,28.0,80.5,72.8,-0.2118774780095151
197,Changlang,46.9,69.7,67.4,26.3,25.0,82.3,74.0,-0.3681159669072036
198,Kamrup,46.9,61.4,67.0,22.6,19.7,68.7,79.6,-0.6531725302091143
199,Bilaspur,46.9,75.7,78.6,25.7,28.0,80.5,72.8,-0.2118774780095151
200,Sultanpur,47.0,70.5,69.4,33.4,28.3,65.1,71.9,-0.3533299129754866
201,Sawai Madhopur,47.3,75.2,82.8,26.9,24.2,71.2,55.7,-0.4937020726080874
202,Parbhani,47.4,64.4,66.8,37.6,41.8,60.1,73.4,-0.2096719544296661
203,Jaunpur,47.6,82.3,79.4,40.5,30.3,62.6,75.9,0.0392351881287719
204,Bulandshahr,47.6,82.5,82.8,37.6,26.5,81.5,69.2,0.0664353991952907
205,Jaisalmer,47.6,80.1,79.0,25.5,31.7,75.7,62.2,-0.2858212001166567
206,Kodarma,47.6,75.8,78.0,34.6,31.7,54.0,63.6,-0.3557575901112349
207,Sangrur,47.7,86.6,87.9,23.4,18.1,92.4,78.3,-0.0093361083759981
208,Malerkotla,47.7,86.6,87.9,23.4,18.1,92.4,78.3,-0.0093361083759981
209,West Garo Hills,48.0,70.9,67.2,39.5,26.3,86.3,89.0,0.1275596975901115
210,Kheri,48.0,60.5,55.7,47.6,36.3,65.6,57.5,-0.3656713292726009
211,Gurugram,48.1,87.7,87.6,22.1,22.2,84.5,85.4,0.0409850302996686
212,Bathinda,48.2,78.7,81.3,23.0,23.8,88.4,69.2,-0.2216862802846201
213,Ferozepur,48.4,83.9,84.7,30.0,22.0,84.8,75.4,0.0079774720754447
214,Haridwar,48.5,74.2,76.6,31.1,27.0,69.8,73.7,-0.2354627019480041
215,Jashpur,48.6,82.7,80.7,35.8,33.6,72.8,73.1,0.0804736261151479
216,Lower Dibang Valley,48.6,58.6,58.4,14.3,9.7,89.9,80.0,-0.8254993477935451
217,Bokaro,48.7,73.5,70.0,36.2,32.3,64.4,69.2,-0.2402378939497035
218,Bijnor,48.8,82.4,81.9,36.2,21.9,78.2,72.8,-0.007959364531014
219,Umaria,48.9,89.7,87.9,45.3,36.6,53.7,63.0,0.1326414678572841
220,Surajpur,48.9,83.0,81.2,27.6,32.3,75.4,66.9,-0.1281466811663598
221,Tehri Garhwal,48.9,78.5,80.4,29.3,20.7,84.6,74.9,-0.1180370198646327
222,Dewas,49.1,84.3,82.7,36.8,30.7,69.6,64.2,-0.0368692602520377
223,Jhunjhunu,49.2,84.6,86.6,20.9,19.6,79.0,74.4,-0.2288283928760186
224,Panipat,49.2,92.8,93.2,25.1,18.9,79.3,83.8,0.0945945152131794
225,Gumla,49.3,82.4,78.4,40.2,38.7,50.1,63.7,-0.1145566695634369
226,Korba,49.3,76.7,70.7,34.7,27.9,73.3,73.2,-0.1518751967147681
227,Mansa,49.4,84.3,83.2,36.6,22.7,85.4,67.4,0.0483942817203685
228,Baloda Bazar,49.5,72.6,69.7,40.9,34.1,78.9,73.4,0.0507906503255685
229,Jind,49.6,96.4,94.5,25.5,22.9,88.5,81.3,0.2611670434508867
230,Udalguri,49.8,53.1,62.9,33.8,32.5,73.8,70.0,-0.442144248617099
231,Meerut,49.9,81.2,81.2,32.1,23.7,82.7,79.0,0.0450381375864252
232,Dimapur,50.083,68.693,64.693,28.3,29.794,81.105,86.607,-0.1411203329732922
233,Auraiya,50.4,77.8,73.3,39.7,32.6,74.3,74.9,0.073891517483773
234,Sikar,50.4,83.5,87.8,23.1,18.3,77.9,71.8,-0.2374402579373034
235,Rampur,50.4,72.5,72.5,40.4,32.1,79.0,57.0,-0.1473927420624082
236,Bikaner,50.5,81.2,80.8,22.8,28.5,79.8,62.5,-0.2872234332988408
237,Dungarpur,50.6,92.6,92.4,31.4,25.9,59.9,66.0,-0.0894734219258829
238,North Delhi,50.6,68.9,73.4,25.0,17.4,70.2,80.0,-0.4609491747299392
239,Koppal,50.7,80.7,79.5,49.1,45.8,58.8,59.8,0.1818700107206121
240,East Godavari,51.0,91.9,93.5,23.1,22.4,77.7,77.9,0.0249925384610904
241,Faridabad,51.2,93.5,93.3,28.9,19.5,84.2,82.3,0.223778674286159
242,Hojai,51.3,63.9,68.4,39.3,28.4,63.1,83.2,-0.1701262960758567
243,Kapurthala,51.4,88.4,86.4,24.6,19.2,87.7,84.1,0.0835332559187882
244,Varanasi,51.4,85.1,82.0,37.4,39.0,83.2,79.0,0.4041344377128028
245,Satna,51.5,81.3,79.7,49.4,31.2,55.4,69.1,0.0893723402528525
246,Lakhimpur,51.7,67.7,77.0,38.5,34.4,74.2,83.9,0.123091835711288
247,Dhalai,52.0,72.4,73.1,45.7,27.6,67.6,71.6,-0.0254554182377547
248,Balrampur,52.1,78.6,72.7,35.1,38.8,57.3,65.4,-0.1881472687385976
249,Chamoli,52.2,72.1,67.8,34.1,21.6,87.6,89.2,0.0288402570069218
250,Pathankot,52.4,88.5,82.4,22.1,10.8,79.2,88.7,-0.1248927670886425
251,Saharanpur,52.4,83.6,79.1,28.8,26.7,83.8,71.2,-0.0358737291380317
252,Mahrajganj,52.5,77.2,76.4,40.5,37.4,66.7,62.0,-0.0359976131348466
253,Mamit,52.5,63.9,44.9,26.4,13.9,92.7,89.6,-0.4451891513770116
254,Gautam Buddha Nagar,52.7,85.4,84.0,25.5,21.9,74.0,79.9,-0.084788488650161
255,Shivpuri,52.7,88.1,84.7,39.2,36.1,55.5,56.7,-0.0614177630925117
256,Ajmer,52.8,82.3,82.0,22.3,23.1,77.5,68.4,-0.2799183463643898
257,Sipahijala,52.8,72.1,70.1,34.5,21.0,75.4,79.6,-0.175061286126291
258,Katni,52.9,82.2,83.7,49.5,44.0,53.5,67.2,0.272326005229408
259,Mayurbhanj,52.9,86.3,81.2,36.7,45.9,54.4,58.6,-0.0157574666830781
260,Pratapgarh,52.9,94.0,93.0,29.0,31.8,46.3,53.5,-0.2971002676627559
261,Hanumangarh,53.1,83.4,84.8,24.2,21.3,83.8,68.2,-0.1731182458170689
262,Lucknow,53.1,78.7,71.3,32.1,25.5,80.4,78.4,-0.0498873776475036
263,Hapur,53.3,83.0,83.3,30.2,26.9,85.6,73.7,0.0774117696003686
266,Charki Dadri,53.4,93.9,91.9,23.9,16.9,90.4,83.6,0.1784161462331188
264,Palwal,53.4,82.7,83.0,31.0,21.0,80.3,68.3,-0.103247577714208
265,Faridkot,53.4,81.7,84.3,28.1,20.7,87.5,72.6,-0.0406988522731243
267,Jaipur,53.5,89.4,92.6,25.0,20.8,79.6,72.4,-0.0223581477078225
268,Nanded,53.5,76.1,79.3,36.0,35.2,68.0,71.9,0.0036874110776521
269,Kalaburagi,53.6,79.6,78.1,34.5,36.2,36.5,68.2,-0.326265762324445
270,Dausa,53.6,89.7,93.1,37.7,33.5,59.4,60.3,0.0536608073460569
271,Datia,54.2,82.0,82.2,36.8,29.4,66.8,67.2,-0.0343392694948182
272,Saraikela-kharsawan,54.4,77.2,73.9,40.0,48.7,60.9,64.0,0.0626265081301503
273,Mandla,54.4,84.2,83.5,32.1,33.0,58.4,66.5,-0.1271068382671828
274,Kanpur Dehat,54.4,67.9,62.6,44.1,32.8,70.6,70.8,-0.0895019444302851
275,Bemetara,54.6,91.5,91.9,38.4,27.6,80.5,71.1,0.3307120539115739
276,Alirajpur,54.7,79.9,74.6,34.6,31.6,84.7,40.8,-0.2762932183835709
277,Vikarabad,54.8,80.8,86.9,32.1,37.1,66.7,59.3,-0.0815843638347827
278,Kottayam,55.1,85.0,83.5,23.4,17.3,98.6,99.7,0.2914612203624245
279,Bastar,55.1,69.2,64.6,48.1,45.2,61.0,52.9,-0.1203794381155843
280,Mahendragarh,55.2,88.0,90.4,25.2,15.4,79.8,81.1,-0.0049275033035977
281,Rajgarh,55.2,73.3,78.1,27.6,26.8,47.8,52.1,-0.7121702164365742
282,Bidar,55.3,89.6,86.5,36.8,36.1,56.5,73.8,0.1561836947611136
283,Thiruvananthapuram,55.3,86.2,88.0,19.5,15.2,95.4,98.5,0.2009406143677942
284,Raigarh,55.4,89.6,88.9,39.1,28.0,66.3,74.9,0.2207758343635841
285,Nalbari,55.9,73.8,73.2,27.5,26.7,68.1,83.9,-0.1811925339478708
286,Baksa,56.0,65.0,70.9,41.2,34.0,68.9,74.8,-0.0392733415549965
287,Banas Kantha,56.1,86.1,87.4,39.0,44.1,53.9,63.7,0.1361447006399291
288,Kangra,56.3,88.7,85.9,28.0,32.0,73.3,94.4,0.3345521971370141
289,Gorakhpur,56.3,79.1,73.9,29.6,33.7,69.6,68.8,-0.1542178973318838
290,Vijayapura,56.4,74.4,74.8,45.9,39.0,44.8,66.6,-0.0795679685353477
291,Ballari,56.4,86.6,84.2,36.1,36.5,64.1,64.4,0.066161655620072
292,Tamenglong,56.4,52.7,49.2,27.1,19.3,77.9,76.8,-0.6968859103764268
293,Noney,56.4,52.7,49.2,27.1,19.3,77.9,76.8,-0.6968859103764268
294,Chirang,56.5,59.7,63.0,42.7,39.7,77.1,71.5,-0.018723331665214
295,Amritsar,56.5,90.1,88.5,19.4,11.2,86.0,80.2,-0.1062489913352155
296,Dindori,56.5,82.9,80.9,38.9,33.6,47.9,63.7,-0.1455476327489648
297,Mahesana,56.6,79.7,83.4,31.0,41.4,72.1,75.1,0.1630768300845545
298,Raisen,56.6,88.8,89.0,30.4,25.4,69.6,75.2,0.0617143925437376
299,Baleshwar,56.6,87.6,86.9,24.4,22.6,70.9,73.8,-0.1211748681366491
300,Hnahthial,56.7,67.1,39.4,26.5,11.1,95.6,91.6,-0.415240681960493
