index,2,73,74,39,4,33,34,35,22,19,80,81,97,IMR,Total District Hospitals,Life Expectancy,overall_health_condition
82,South Garo Hills,33.3,65.9,61.7,65.0,29.8,20.8,18.3,89.6,94.7,88.4,60.4,88.6,29.0,11,70.43913043,-0.0978213892596163
83,Bhojpur,33.5,56.1,62.4,72.7,40.7,44.0,31.3,85.7,64.1,45.9,99.7,64.1,27.0,36,69.1,-0.1836789508816333
84,Etah,33.6,60.2,61.6,60.9,48.8,30.6,15.0,88.9,60.5,62.7,99.8,67.8,38.0,157,65.3,-0.0964961514863737
85,Ayodhya,33.8,75.5,71.2,52.7,30.6,27.5,12.4,82.5,71.2,64.4,100.0,73.8,38.0,157,65.3,-0.1969720448741723
86,Palamu,33.8,70.3,70.1,63.3,43.7,37.3,18.4,92.5,82.1,46.3,94.9,62.5,25.0,23,69.1,-0.2445704235413617
87,Bongaigaon,33.9,57.0,63.3,73.8,46.2,35.3,20.2,84.2,74.7,72.5,95.3,75.8,36.0,25,66.9,-0.0225778300022102
88,Kaushambi,34.0,74.2,67.9,54.8,40.2,36.8,18.3,79.1,70.7,59.6,98.3,58.6,38.0,157,65.3,-0.1261918364719316
89,Upper Siang,34.0,56.4,52.9,27.2,30.4,12.0,12.5,70.0,64.5,91.8,99.8,70.9,21.0,17,70.43913043,-0.6500273768954491
90,Rohtas,34.2,85.0,80.7,66.3,40.0,48.2,31.8,95.8,86.8,69.0,99.6,76.5,27.0,36,69.1,0.3597535337168858
92,East Siang,34.3,55.7,58.8,40.4,24.6,10.3,8.6,81.9,59.0,83.9,97.3,81.9,21.0,17,70.43913043,-0.6565325099833067
91,Bahraich,34.3,52.4,54.5,52.6,52.1,38.0,14.4,70.3,65.2,44.2,100.0,38.8,38.0,157,65.3,-0.4532168700919649
93,Simdega,34.4,61.5,62.3,69.5,42.2,37.0,21.1,91.5,83.9,71.3,66.7,66.4,25.0,23,69.1,-0.1420317984483203
94,Arwal,34.5,70.1,70.1,66.3,45.6,52.9,36.8,94.7,85.0,43.4,99.9,62.5,27.0,36,69.1,0.119226157813972
95,Wokha,34.7,50.7,45.4,47.9,26.3,28.0,23.5,66.4,52.3,88.5,83.4,91.6,4.0,11,70.43913043,-0.5027925039729471
96,Madhubani,34.9,58.9,61.0,69.2,43.3,36.0,17.1,91.2,80.3,38.2,100.0,53.2,27.0,36,69.1,-0.4271651848441748
97,Pashchimi Singhbhum,34.9,58.8,61.5,74.2,60.6,62.4,30.5,92.1,90.0,37.7,79.3,47.8,25.0,23,69.1,0.0586076118755722
98,Ranchi,35.2,83.1,84.5,61.7,28.3,40.6,32.7,82.6,78.0,77.2,86.3,76.0,25.0,23,69.1,0.1047670354727041
99,Shahjahanpur,35.3,62.6,56.1,64.5,38.9,27.9,18.2,85.3,74.1,59.0,98.2,63.5,36.0,25,66.9,-0.3984604918143744
100,South Salmara Mancachar,35.3,62.8,63.6,58.7,44.5,34.7,17.0,89.1,80.8,69.2,100.0,56.8,38.0,157,65.3,-0.0692737010869132
101,Sitapur,35.4,51.2,52.0,58.5,28.7,17.7,12.4,79.3,70.9,75.1,93.5,62.6,21.0,17,70.43913043,-0.686147761563982
102,Namsai,35.4,71.5,67.9,61.2,47.8,37.9,18.2,80.5,71.1,52.5,99.7,53.4,38.0,157,65.3,-0.0959756169190835
103,Saiha,35.5,59.6,22.8,46.0,43.8,17.6,7.7,65.5,61.5,91.5,95.2,95.1,3.0,9,70.43913043,-0.5038735083443071
104,Tirap,35.7,49.8,51.6,53.0,38.6,16.0,13.8,77.9,72.1,86.7,93.8,72.8,21.0,17,70.43913043,-0.4450475345482584
105,Kushinagar,35.8,79.3,74.7,45.7,32.2,36.6,24.3,87.7,72.7,73.1,100.0,62.5,38.0,157,65.3,-0.005111963360704
106,Sagar,35.9,71.5,79.8,49.7,42.7,35.8,15.2,88.3,79.2,68.8,86.7,69.4,43.0,51,66.5,-0.0209759250514805
107,Jamtara,36.0,69.9,66.5,77.4,41.9,46.2,23.0,91.4,80.4,52.8,93.0,53.5,25.0,23,69.1,-0.1482218252421314
108,Sahibganj,36.2,64.8,61.0,67.6,49.1,44.8,19.7,76.4,68.8,43.2,88.2,48.8,25.0,23,69.1,-0.3404741169995252
109,Sonbhadra,36.4,59.9,57.4,44.2,38.3,46.5,26.8,81.5,80.2,70.6,89.6,60.9,38.0,157,65.3,-0.0191697780732545
110,Hazaribagh,36.4,65.4,67.7,54.1,37.8,32.5,16.2,85.9,71.8,55.6,85.5,67.2,25.0,23,69.1,-0.3804541127546906
